,AUB:SO2,AUT:SO2,VITRY:SO2,NEUIL:SO2,RUR-SE:SO2,EIFF3:SO2,OBJECTID
,AUBERVILLIERS,Boulevard Péripherique Auteuil,VITRY-SUR-SEINE,NEUILLY-SUR-SEINE,Zone rurale Sud-Est - Forêt de Fontainebleau,Tour Eiffel 3ème étage,0
,AUB,AUT,VITRY,NEUIL,RUR-SE,EIFF3,1
,dioxyde de soufre,dioxyde de soufre,dioxyde de soufre,dioxyde de soufre,dioxyde de soufre,dioxyde de soufre,2
,SO2,SO2,SO2,SO2,SO2,SO2,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2022/01/01 01:00:00+00,,,0.300000,,,,5
2022/01/01 02:00:00+00,,,0.200000,,,,6
2022/01/01 03:00:00+00,,,0,,,,7
2022/01/01 04:00:00+00,,,0,,,,8
2022/01/01 05:00:00+00,,,0,,,,9
2022/01/01 06:00:00+00,,,0,,,,10
2022/01/01 07:00:00+00,,,0,,,,11
2022/01/01 08:00:00+00,,,0,,,,12
2022/01/01 09:00:00+00,,,0,,,,13
2022/01/01 10:00:00+00,,,0,,,,14
2022/01/01 11:00:00+00,,,0,,,,15
2022/01/01 12:00:00+00,,,0,,,,16
2022/01/01 13:00:00+00,,,0,,,,17
2022/01/01 14:00:00+00,,,0.200000,,,,18
2022/01/01 15:00:00+00,,,0.100000,,,,19
2022/01/01 16:00:00+00,,,0.100000,,,,20
2022/01/01 17:00:00+00,,,0.200000,,,,21
2022/01/01 18:00:00+00,,,0.500000,,,,22
2022/01/01 19:00:00+00,,,0.400000,,,,23
2022/01/01 20:00:00+00,,,0.900000,,,,24
2022/01/01 21:00:00+00,,,0.900000,,,,25
2022/01/01 22:00:00+00,,,0.500000,,,,26
2022/01/01 23:00:00+00,,,0.500000,,,,27
2022/01/02 00:00:00+00,,,0.400000,,,,28
2022/01/02 01:00:00+00,,,0,,,,29
2022/01/02 02:00:00+00,,,0,,,,30
2022/01/02 03:00:00+00,,,0,,,,31
2022/01/02 04:00:00+00,,,0,,,,32
2022/01/02 05:00:00+00,,,0,,,,33
2022/01/02 06:00:00+00,,,0,,,,34
2022/01/02 07:00:00+00,,,0,,,,35
2022/01/02 08:00:00+00,,,0,,,,36
2022/01/02 09:00:00+00,,,0,,,,37
2022/01/02 10:00:00+00,,,0,,,,38
2022/01/02 11:00:00+00,,,0,,,,39
2022/01/02 12:00:00+00,,,0,,,,40
2022/01/02 13:00:00+00,,,0,,,,41
2022/01/02 14:00:00+00,,,0,,,,42
2022/01/02 15:00:00+00,,,0,,,,43
2022/01/02 16:00:00+00,,,0,,,,44
2022/01/02 17:00:00+00,,,0,,,,45
2022/01/02 18:00:00+00,,,0,,,,46
2022/01/02 19:00:00+00,,,0,,,,47
2022/01/02 20:00:00+00,,,0,,,,48
2022/01/02 21:00:00+00,,,0,,,,49
2022/01/02 22:00:00+00,,,0,,,,50
2022/01/02 23:00:00+00,,,0,,,,51
2022/01/03 00:00:00+00,,,0,,,,52
2022/01/03 01:00:00+00,,,0.200000,,,,53
2022/01/03 02:00:00+00,,,0.100000,,,,54
2022/01/03 03:00:00+00,,,0,,,,55
2022/01/03 04:00:00+00,,,0,,,,56
2022/01/03 05:00:00+00,,,0,,,,57
2022/01/03 06:00:00+00,,,0,,,,58
2022/01/03 07:00:00+00,,,0,,,,59
2022/01/03 08:00:00+00,,,0,,,,60
2022/01/03 09:00:00+00,,,0,,,,61
2022/01/03 10:00:00+00,,,0,,,,62
2022/01/03 11:00:00+00,,,0.100000,,,,63
2022/01/03 12:00:00+00,,,0.100000,,,,64
2022/01/03 13:00:00+00,,,0.200000,,,,65
2022/01/03 14:00:00+00,,,0.100000,,,,66
2022/01/03 15:00:00+00,,,0.300000,,,,67
2022/01/03 16:00:00+00,,,0.300000,,,,68
2022/01/03 17:00:00+00,,,0.100000,,,,69
2022/01/03 18:00:00+00,,,0.200000,,,,70
2022/01/03 19:00:00+00,,,0.200000,,,,71
2022/01/03 20:00:00+00,,,0.400000,,,,72
2022/01/03 21:00:00+00,,,0.300000,,,,73
2022/01/03 22:00:00+00,,,0.400000,,,,74
2022/01/03 23:00:00+00,,,0.400000,,,,75
2022/01/04 00:00:00+00,,,0.200000,,,,76
2022/01/04 01:00:00+00,,,0,,,,77
2022/01/04 02:00:00+00,,,0,,,,78
2022/01/04 03:00:00+00,,,0,,,,79
2022/01/04 04:00:00+00,,,0,,,,80
2022/01/04 05:00:00+00,,,0,,,,81
2022/01/04 06:00:00+00,,,0,,,,82
2022/01/04 07:00:00+00,,,0,,,,83
2022/01/04 08:00:00+00,,,0,,,,84
2022/01/04 09:00:00+00,,,0,,,,85
2022/01/04 10:00:00+00,,,0,,,,86
2022/01/04 11:00:00+00,,,0,,,,87
2022/01/04 12:00:00+00,,,0,,,,88
2022/01/04 13:00:00+00,,,0,,,,89
2022/01/04 14:00:00+00,,,0,,,,90
2022/01/04 15:00:00+00,,,0,,,,91
2022/01/04 16:00:00+00,,,0,,,,92
2022/01/04 17:00:00+00,,,0,,,,93
2022/01/04 18:00:00+00,,,0,,,,94
2022/01/04 19:00:00+00,,,0,,,,95
2022/01/04 20:00:00+00,,,0,,,,96
2022/01/04 21:00:00+00,,,0,,,,97
2022/01/04 22:00:00+00,,,0,,,,98
2022/01/04 23:00:00+00,,,0,,,,99
2022/01/05 00:00:00+00,,,0,,,,100
2022/01/05 01:00:00+00,,,0,,,,101
2022/01/05 02:00:00+00,,,0,,,,102
2022/01/05 03:00:00+00,,,0,,,,103
2022/01/05 04:00:00+00,,,0,,,,104
2022/01/05 05:00:00+00,,,0,,,,105
2022/01/05 06:00:00+00,,,0,,,,106
2022/01/05 07:00:00+00,,,0,,,,107
2022/01/05 08:00:00+00,,,0,,,,108
2022/01/05 09:00:00+00,,,0,,,,109
2022/01/05 10:00:00+00,,,0,,,,110
2022/01/05 11:00:00+00,,,0,,,,111
2022/01/05 12:00:00+00,,,0,,,,112
2022/01/05 13:00:00+00,,,0,,,,113
2022/01/05 14:00:00+00,,,0,,,,114
2022/01/05 15:00:00+00,,,0,,,,115
2022/01/05 16:00:00+00,,,0,,,,116
2022/01/05 17:00:00+00,,,0,,,,117
2022/01/05 18:00:00+00,,,0,,,,118
2022/01/05 19:00:00+00,,,0,,,,119
2022/01/05 20:00:00+00,,,0,,,,120
2022/01/05 21:00:00+00,,,0,,,,121
2022/01/05 22:00:00+00,,,0.100000,,,,122
2022/01/05 23:00:00+00,,,0.100000,,,,123
2022/01/06 00:00:00+00,,,0,,,,124
2022/01/06 01:00:00+00,,,1.200000,,,,125
2022/01/06 02:00:00+00,,,0.500000,,,,126
2022/01/06 03:00:00+00,,,0.100000,,,,127
2022/01/06 04:00:00+00,,,0,,,,128
2022/01/06 05:00:00+00,,,0,,,,129
2022/01/06 06:00:00+00,,,0,,,,130
2022/01/06 07:00:00+00,,,0,,,,131
2022/01/06 08:00:00+00,,,0,,,,132
2022/01/06 09:00:00+00,,,0,,,,133
2022/01/06 10:00:00+00,,,0,,,,134
2022/01/06 11:00:00+00,,,0.300000,,,,135
2022/01/06 12:00:00+00,,,0.700000,,,,136
2022/01/06 13:00:00+00,,,0,,,,137
2022/01/06 14:00:00+00,,,0,,,,138
2022/01/06 15:00:00+00,,,0,,,,139
2022/01/06 16:00:00+00,,,0.200000,,,,140
2022/01/06 17:00:00+00,,,0.100000,,,,141
2022/01/06 18:00:00+00,,,0.400000,,,,142
2022/01/06 19:00:00+00,,,0.400000,,,,143
2022/01/06 20:00:00+00,,,0.300000,,,,144
2022/01/06 21:00:00+00,,,0.600000,,,,145
2022/01/06 22:00:00+00,,,0.400000,,,,146
2022/01/06 23:00:00+00,,,0.600000,,,,147
2022/01/07 00:00:00+00,,,0.200000,,,,148
2022/01/07 01:00:00+00,,,0.900000,,,,149
2022/01/07 02:00:00+00,,,0.700000,,,,150
2022/01/07 03:00:00+00,,,0.700000,,,,151
2022/01/07 04:00:00+00,,,0.900000,,,,152
2022/01/07 05:00:00+00,,,1.200000,,,,153
2022/01/07 06:00:00+00,,,1.400000,,,,154
2022/01/07 07:00:00+00,,,0.700000,,,,155
2022/01/07 08:00:00+00,,,0.100000,,,,156
2022/01/07 09:00:00+00,,,0.300000,,,,157
2022/01/07 10:00:00+00,,,0.300000,,,,158
2022/01/07 11:00:00+00,,,0.100000,,,,159
2022/01/07 12:00:00+00,,,0.100000,,,,160
2022/01/07 13:00:00+00,,,0,,,,161
2022/01/07 14:00:00+00,,,0,,,,162
2022/01/07 15:00:00+00,,,0.100000,,,,163
2022/01/07 16:00:00+00,,,0,,,,164
2022/01/07 17:00:00+00,,,0,,,,165
2022/01/07 18:00:00+00,,,0,,,,166
2022/01/07 19:00:00+00,,,0,,,,167
2022/01/07 20:00:00+00,,,0,,,,168
2022/01/07 21:00:00+00,,,0.100000,,,,169
2022/01/07 22:00:00+00,,,0,,,,170
2022/01/07 23:00:00+00,,,0,,,,171
2022/01/08 00:00:00+00,,,0,,,,172
2022/01/08 01:00:00+00,,,0.300000,,,,173
2022/01/08 02:00:00+00,,,0.800000,,,,174
2022/01/08 03:00:00+00,,,1.100000,,,,175
2022/01/08 04:00:00+00,,,1.300000,,,,176
2022/01/08 05:00:00+00,,,1.300000,,,,177
2022/01/08 06:00:00+00,,,1.300000,,,,178
2022/01/08 07:00:00+00,,,,,,,179
2022/01/08 08:00:00+00,,,1.200000,,,,180
2022/01/08 09:00:00+00,,,0.400000,,,,181
2022/01/08 10:00:00+00,,,0.200000,,,,182
